,Food-Group,Food,CO2-percent,Price-per-pound,Calories-per-gram,CO2-per-calorie,Density (grams-per-cup),Alternates
0,Beans-Pulses,Baby Lima Beans,0.6314,1.67832,1.15,0.5490434783,,
1,Beans-Pulses,Blackeye,0.5624,40.824,1.1,0.5112727273,,
2,Beans-Pulses,Dry Beans,0.745,1.7690400000000002,1.3,0.5730769231,,
3,Beans-Pulses,Large Lima Beans,1.1462,1.67832,1.5,0.7641333333,,Baby Lima Beans
4,Beans-Pulses,Garbanzo,0.6436,0.8618399999999999,3.64,0.1768131868,,
5,Beans-Pulses,Lentils,0.5337,0.9525600000000001,1.16,0.46008620689999996,,
6,Beans-Pulses,Soybeans,0.5616,0.9525600000000001,4.46,0.1259192825,,
7,Dairy ,Butter,1.169,3.99168,7.17,0.1630404463,215.53202819999996,
8,Dairy ,Cottage Cheese,0.2642,1.093351009,2.22,0.119009009,,
9,Dairy ,Natural Cheese,9.8217,5.360094534,4.4,2.232204545,,
10,Dairy ,Powdered Milk,9.7262,3.620059855,0.38,25.59526316,,Milk
11,Dairy ,Milk,1.1942,1.082018201,0.7,1.706,258.89,
12,Dairy ,Whey,2.0343,13.607999999999999,0.27,7.534444444,,
13,Dairy ,Yogurt,0.9002,4.5360000000000005,0.59,1.525762712,,
14,Fruits-Berries,Conventional Apple,0.0706,1673.7839999999999,0.52,0.1357692308,,
15,Fruits-Berries,Apricot,0.2261,9.072000000000001,4.8,0.047104166669999996,,
16,Fruits-Berries,Banana,0.3047,0.57,0.56,0.5441071429,,
17,Fruits-Berries,Blueberry,0.8303,0.78,0.61,1.361147541,,
18,Fruits-Berries,Boysenberry,0.2019,2.3,0.88,0.2294318182,,
19,Fruits-Berries,Cantaloupe,0.1372,0.54,0.34,0.4035294118,,
20,Fruits-Berries,Cherry,0.1826,5.05,0.78,0.2341025641,,
21,Fruits-Berries,Date,0.4436,8.54,3.71,0.1195687332,,
22,Fruits-Berries,Fig,1.5373,9.49,0.74,2.0774324319999997,,
23,Fruits-Berries,Grape,0.2028,9.49,0.46,0.44086956520000004,,
24,Fruits-Berries,Guava,0.1541,2.0,0.63,0.2446031746,,
25,Fruits-Berries,Lemon,0.0911,2.5,0.44,0.2070454545,,
26,Fruits-Berries,Mango,0.07200000000000001,4.2,0.53,0.1358490566,,
27,Fruits-Berries,Olive,0.1816,10.0,8.84,0.02054298643,,
28,Fruits-Berries,Orange,0.0972,1.33,0.45,0.21600000000000003,,
29,Fruits-Berries,Peaches,0.2187,1.25,0.65,0.3364615385,,
30,Fruits-Berries,Pear,0.0326,1.9,0.44,0.07409090909,,
31,Fruits-Berries,Pineapple,0.0808,2.75,0.5,0.1616,,
32,Fruits-Berries,Pomegranate,0.4484,5.0,0.83,0.5402409639,,Mango
33,Fruits-Berries,Plum,0.2177,1.89,0.71,0.30661971829999995,,
34,Fruits-Berries,Stawberry,0.3043,2.4,1.06,0.28707547170000003,,
35,Fruits-Berries,Tomato,0.1798,1.48,0.61,0.2947540984,,
36,Fruits-Berries,Watermelon,0.0892,1.49,0.3,0.2973333333,,
37,Grains,Barley,0.2786,0.018939861819999997,3.76,0.07409574467999999,,
38,Grains,Corn,0.067,3.31,0.5,0.134,,
39,Grains,Oats,0.3064,2.75,4.21,0.07277909739,,
40,Grains,Brown Rice,2.191,0.579,0.82,2.67195122,,
41,Grains,White Rice,3.2495,0.71,0.82,3.962804878,,
42,Grains,Bran,0.6358,2.2,1.3,0.4890769231,,
43,Grains,Rye,0.2456,0.29,2.13,0.1153051643,,
44,Grains,Sorghum,0.2823,1.625,2.9,0.09734482759,,
45,Grains,Wheat,0.3216,3.291666667,4.02,0.08,,
